"state_name","industry_code","year","qtr","avg_employment_change","avg_employment_pct_change","total_wages_change","avg_wages_pct_change"
"Virginia","10",2023,1,"170426.000000000000","3.1081203007518797","13225971030","14.5228571428571429"
"Michigan","10",2023,1,"165578.333333333333","1.9447389558232932","10773988188","11.1556626506024096"
"New Jersey","10",2023,1,"154868.000000000000","0.07904761904761904762","11430882778","8.9666666666666667"
"West Virginia","10",2023,1,"35632.000000000000","2.1583030303030303","2006816370","14.1840000000000000"
"New York","10",2023,1,"621433.333333333333","1.00655913978494623333","26113826016","12.4045161290322581"
"Wisconsin","10",2023,1,"79616.333333333333","0.90677808727948003333","5960329912","10.6222841225626741"
"New Hampshire","10",2023,1,"19317.000000000000","0.04333333333333333333","1748929288","9.5940000000000000"
"Missouri","10",2023,1,"101450.666666666667","1.9959420289855072","7951558176","12.6373913043478261"
"Utah","10",2023,1,"94398.666666666667","3.2080459770114943","5449903230","16.3682758620689655"
"Mississippi","10",2023,1,"28712.666666666667","1.5560162601626016","2065322932","12.1812195121951220"
"Louisiana","10",2023,1,"81277.000000000000","2.1151041666666667","5720939972","11.4234375000000000"
"Iowa","10",2023,1,"40477.000000000000","-0.03070707070707070707","4119243801","9.7298989898989899"
"Oregon","10",2023,1,"96636.333333333333","21.8333333333333333","5513978358","42.2711111111111111"
"North Carolina","10",2023,1,"261160.000000000000","1.05273333333333333333","13349784148","7.7088000000000000"
"Wyoming","10",2023,1,"13790.000000000000","1.6162318840579710","774334756","10.6182608695652174"
"Rhode Island","10",2023,1,"21586.666666666667","1.9200000000000000","1259066656","14.8160000000000000"
"Nebraska","10",2023,1,"37759.333333333333","0.57321814254859610000","2448818838","9.5740820734341253"
"South Dakota","10",2023,1,"18789.333333333333","1.6805471124620061","1051663398","10.9200607902735562"
"Vermont","10",2023,1,"14897.666666666667","2.6838095238095238","876985122","10.9114285714285714"
"Idaho","10",2023,1,"36914.000000000000","2.5751515151515152","2537565562","16.0427272727272727"
"Maryland","10",2023,1,"122722.000000000000","6.4777777777777778","9234831366","17.8383333333333333"
"Florida","10",2023,1,"708169.333333333333","3.1851741293532338","36662356458","14.9770149253731343"
"Minnesota","10",2023,1,"105515.333333333333","1.07977011494252873333","7741898838","11.0425287356321839"
"Ohio","10",2023,1,"169933.333333333333","2.1557575757575758","13501107404","13.5093181818181818"
"North Dakota","10",2023,1,"24424.000000000000","18.8352201257861635","1519289768","31.4452830188679245"
"Kentucky","10",2023,1,"116702.333333333333","2.7182222222222222","6350334856","14.7321666666666667"
"Hawaii","10",2023,1,"40284.666666666667","1.9066666666666667","1907272491","9.0750000000000000"
"South Carolina","10",2023,1,"101352.666666666667","1.4456521739130435","6360170716","11.4469565217391304"
"Massachusetts","10",2023,1,"108532.333333333333","1.06476190476190476667","10393556339","11.4785714285714286"
"Pennsylvania","10",2023,1,"189169.333333333333","0.95860696517412936667","15858212649","11.1740298507462687"
"Nevada","10",2023,1,"125984.666666666667","1.16547619047619046667","5164032704","13.0250000000000000"
"New Mexico","10",2023,1,"53270.000000000000","3.2442424242424242","2719175054","14.0618181818181818"
"Delaware","10",2023,1,"26106.333333333333","1.8888888888888889","1125792251","7.4000000000000000"
"District of Columbia","10",2023,1,"37016.000000000000","-0.16000000000000000000","5480008064","8.4600000000000000"
"Montana","10",2023,1,"26597.333333333333","1.5113908872901679","1477195929","10.7874100719424460"
"Kansas","10",2023,1,"90870.666666666667","1.5186031746031746","4367999350","14.9986666666666667"
"Oklahoma","10",2023,1,"118708.333333333333","4.8890043290043290","5338223904","15.7532467532467532"
"Indiana","10",2023,1,"114752.666666666667","0.03586956521739130435","6897509072","8.7841304347826087"
"Tennessee","10",2023,1,"163378.666666666667","2.9146666666666667","9569790640","13.5054736842105263"
"Washington","10",2023,1,"134954.666666666667","3.1220512820512821","13762375222","11.5466666666666667"
"Texas","10",2023,1,"1001155.000000000000","2.5815955766192733","54255333127","11.4900473933649289"
"Maine","10",2023,1,"20655.333333333333","1.4050000000000000","1538244182","11.2125000000000000"
"Illinois","10",2023,1,"258770.666666666667","1.18688888888888890000","15861318489","11.7437777777777778"
"Georgia","10",2023,1,"283260.000000000000","3.0010901467505241","13378591096","14.4821383647798742"
