"state_name","year","qtr","avg_emp_change","avg_emp_growth_pct"
"Georgia",2023,1,"283260.000000000000","3.00"
"District of Columbia",2023,1,"37016.000000000000","-0.16"
"Texas",2023,1,"1001155.000000000000","2.58"
"Tennessee",2023,1,"163378.666666666667","2.91"
"Maryland",2023,1,"122722.000000000000","6.48"
"Wyoming",2023,1,"13790.000000000000","1.62"
"South Dakota",2023,1,"18789.333333333333","1.68"
"Montana",2023,1,"26597.333333333333","1.51"
"New York",2023,1,"621433.333333333333","1.01"
"Kansas",2023,1,"90870.666666666667","1.52"
"Oklahoma",2023,1,"118708.333333333333","4.89"
"North Carolina",2023,1,"261160.000000000000","1.05"
"Minnesota",2023,1,"105515.333333333333","1.08"
"Rhode Island",2023,1,"21586.666666666667","1.92"
"Vermont",2023,1,"14897.666666666667","2.68"
"Massachusetts",2023,1,"108532.333333333333","1.06"
"Maine",2023,1,"20655.333333333333","1.41"
"Florida",2023,1,"708169.333333333333","3.19"
"New Mexico",2023,1,"53270.000000000000","3.24"
"New Jersey",2023,1,"154868.000000000000","0.08"
"Washington",2023,1,"134954.666666666667","3.12"
"Ohio",2023,1,"169933.333333333333","2.16"
"Idaho",2023,1,"36914.000000000000","2.58"
"Missouri",2023,1,"101450.666666666667","2.00"
"Virginia",2023,1,"170426.000000000000","3.11"
"Utah",2023,1,"94398.666666666667","3.21"
"Nevada",2023,1,"125984.666666666667","1.17"
"West Virginia",2023,1,"35632.000000000000","2.16"
"North Dakota",2023,1,"24424.000000000000","18.84"
"Mississippi",2023,1,"28712.666666666667","1.56"
"Pennsylvania",2023,1,"189169.333333333333","0.96"
"Delaware",2023,1,"26106.333333333333","1.89"
"Hawaii",2023,1,"40284.666666666667","1.91"
"Michigan",2023,1,"165578.333333333333","1.94"
"New Hampshire",2023,1,"19317.000000000000","0.04"
"Iowa",2023,1,"40477.000000000000","-0.03"
"Wisconsin",2023,1,"79616.333333333333","0.91"
"South Carolina",2023,1,"101352.666666666667","1.45"
"Illinois",2023,1,"258770.666666666667","1.19"
"Oregon",2023,1,"96636.333333333333","21.83"
"Kentucky",2023,1,"116702.333333333333","2.72"
"Nebraska",2023,1,"37759.333333333333","0.57"
"Louisiana",2023,1,"81277.000000000000","2.12"
"Indiana",2023,1,"114752.666666666667","0.04"
