"state_name","year","qtr","total_employment","total_establishments","avg_emp_per_estab"
"Georgia",2023,1,"9111048.00000000000266600000","644022","14.15"
"District of Columbia",2023,1,"3001407.9999999999986666","198640","15.11"
"Texas",2023,1,"25974780.33333333332933330000","1492224","17.41"
"Tennessee",2023,1,"6163773.3333333333353329","386738","15.94"
"Maryland",2023,1,"5077532.6666666666663335","318786","15.93"
"Wyoming",2023,1,"531267.33333333333533330000","58276","9.12"
"South Dakota",2023,1,"863117.99999999999999940000","77738","11.10"
"Montana",2023,1,"962634.6666666666680002","113608","8.47"
"New York",2023,1,"18307752.6666666666686666","1277728","14.33"
"Kansas",2023,1,"2772641.3333333333336670","189716","14.61"
"Oklahoma",2023,1,"3240899.99999999999966700000","241240","13.43"
"North Carolina",2023,1,"9095579.3333333333326663","658870","13.80"
"Minnesota",2023,1,"5515226.6666666666666671","337158","16.36"
"Rhode Island",2023,1,"924130.0000000000006666","84728","10.91"
"Vermont",2023,1,"589716.00000000000066640000","59798","9.86"
"Massachusetts",2023,1,"6913461.66666666666900030000","534404","12.94"
"Maine",2023,1,"1183764.6666666666656666","115122","10.28"
"Florida",2023,1,"18314404.6666666666669995","1584774","11.56"
"New Mexico",2023,1,"1636444.6666666666670000","121306","13.49"
"New Jersey",2023,1,"7843674.6666666666670002","532010","14.74"
"Washington",2023,1,"6907972.33333333333299960000","467930","14.76"
"Ohio",2023,1,"10406239.3333333333350001","622026","16.73"
"Idaho",2023,1,"1592464.6666666666683331","152978","10.41"
"Missouri",2023,1,"5421265.3333333333356665","407612","13.30"
"Virginia",2023,1,"7549612.0000000000003333","603658","12.51"
"Utah",2023,1,"3327770.0000000000006662","264518","12.58"
"Nevada",2023,1,"2933312.6666666666683332","184468","15.90"
"West Virginia",2023,1,"1299298.6666666666676656","100822","12.89"
"North Dakota",2023,1,"817579.99999999999899990000","68490","11.94"
"Mississippi",2023,1,"2192352.6666666666646676","133902","16.37"
"Pennsylvania",2023,1,"11112037.33333333333266670000","664112","16.73"
"Delaware",2023,1,"835941.99999999999966660000","83882","9.97"
"Hawaii",2023,1,"1240325.00000000000099990000","95666","12.97"
"Michigan",2023,1,"8222432.33333333333400030000","520268","15.80"
"New Hampshire",2023,1,"1249435.00000000000066680000","89826","13.91"
"Iowa",2023,1,"2986656.00000000000300030000","220204","13.56"
"Wisconsin",2023,1,"5480102.00000000000000020000","325512","16.84"
"South Carolina",2023,1,"4194139.66666666666699980000","286502","14.64"
"Illinois",2023,1,"11117052.66666666667000040000","638656","17.41"
"Oregon",2023,1,"3865897.3333333333363333","352298","10.97"
"Kentucky",2023,1,"3826565.99999999999799910000","288296","13.27"
"Nebraska",2023,1,"1899434.66666666666699930000","128630","14.77"
"Louisiana",2023,1,"3693125.33333333333433350000","300108","12.31"
"Indiana",2023,1,"6037031.3333333333349995","333192","18.12"
