"state_name","year","qtr","total_employment","total_wages","emp_to_wage_ratio"
"Georgia",2023,1,"9111048.00000000000266600000","159045737446","0.0001"
"District of Columbia",2023,1,"3001407.9999999999986666","91285550180","0.0000"
"Texas",2023,1,"25974780.33333333332933330000","489854996317","0.0001"
"Tennessee",2023,1,"6163773.3333333333353329","99435266782","0.0001"
"Maryland",2023,1,"5077532.6666666666663335","98065321782","0.0001"
"Wyoming",2023,1,"531267.33333333333533330000","7876464105","0.0001"
"South Dakota",2023,1,"863117.99999999999999940000","12128754191","0.0001"
"Montana",2023,1,"962634.6666666666680002","13171198762","0.0001"
"New York",2023,1,"18307752.6666666666686666","477675659044","0.0000"
"Kansas",2023,1,"2772641.3333333333336670","41358958870","0.0001"
"Oklahoma",2023,1,"3240899.99999999999966700000","46281367697","0.0001"
"North Carolina",2023,1,"9095579.3333333333326663","153627785034","0.0001"
"Minnesota",2023,1,"5515226.6666666666666671","101997630948","0.0001"
"Rhode Island",2023,1,"924130.0000000000006666","15627393950","0.0001"
"Vermont",2023,1,"589716.00000000000066640000","9121129448","0.0001"
"Massachusetts",2023,1,"6913461.66666666666900030000","170299918953","0.0000"
"Maine",2023,1,"1183764.6666666666656666","17770669414","0.0001"
"Florida",2023,1,"18314404.6666666666669995","304778130068","0.0001"
"New Mexico",2023,1,"1636444.6666666666670000","23244589498","0.0001"
"New Jersey",2023,1,"7843674.6666666666670002","166722330538","0.0000"
"Washington",2023,1,"6907972.33333333333299960000","153702769196","0.0000"
"Ohio",2023,1,"10406239.3333333333350001","166783756684","0.0001"
"Idaho",2023,1,"1592464.6666666666683331","21897798956","0.0001"
"Missouri",2023,1,"5421265.3333333333356665","84021895034","0.0001"
"Virginia",2023,1,"7549612.0000000000003333","140717856670","0.0001"
"Utah",2023,1,"3327770.0000000000006662","53969922600","0.0001"
"Nevada",2023,1,"2933312.6666666666683332","46964197288","0.0001"
"West Virginia",2023,1,"1299298.6666666666676656","17570852010","0.0001"
"North Dakota",2023,1,"817579.99999999999899990000","12868358682","0.0001"
"Mississippi",2023,1,"2192352.6666666666646676","26412316788","0.0001"
"Pennsylvania",2023,1,"11112037.33333333333266670000","194893063740","0.0001"
"Delaware",2023,1,"835941.99999999999966660000","15790478295","0.0001"
"Hawaii",2023,1,"1240325.00000000000099990000","19553790858","0.0001"
"Michigan",2023,1,"8222432.33333333333400030000","136456017222","0.0001"
"New Hampshire",2023,1,"1249435.00000000000066680000","21896876276","0.0001"
"Iowa",2023,1,"2986656.00000000000300030000","45352273813","0.0001"
"Wisconsin",2023,1,"5480102.00000000000000020000","84271506127","0.0001"
"South Carolina",2023,1,"4194139.66666666666699980000","59799056475","0.0001"
"Illinois",2023,1,"11117052.66666666667000040000","223012371391","0.0000"
"Oregon",2023,1,"3865897.3333333333363333","66302016454","0.0001"
"Kentucky",2023,1,"3826565.99999999999799910000","56108359040","0.0001"
"Nebraska",2023,1,"1899434.66666666666699930000","28009019490","0.0001"
"Louisiana",2023,1,"3693125.33333333333433350000","54532828583","0.0001"
"Indiana",2023,1,"6037031.3333333333349995","92751361148","0.0001"
