"state_name","year","qtr","total_wages","total_employment","wage_per_employee"
"Georgia",2023,1,"159045737446","9111048.00000000000266600000","17456.36"
"District of Columbia",2023,1,"91285550180","3001407.9999999999986666","30414.24"
"Texas",2023,1,"489854996317","25974780.33333333332933330000","18858.87"
"Tennessee",2023,1,"99435266782","6163773.3333333333353329","16132.21"
"Maryland",2023,1,"98065321782","5077532.6666666666663335","19313.58"
"Wyoming",2023,1,"7876464105","531267.33333333333533330000","14825.80"
"South Dakota",2023,1,"12128754191","863117.99999999999999940000","14052.25"
"Montana",2023,1,"13171198762","962634.6666666666680002","13682.45"
"New York",2023,1,"477675659044","18307752.6666666666686666","26091.44"
"Kansas",2023,1,"41358958870","2772641.3333333333336670","14916.81"
"Oklahoma",2023,1,"46281367697","3240899.99999999999966700000","14280.41"
"North Carolina",2023,1,"153627785034","9095579.3333333333326663","16890.38"
"Minnesota",2023,1,"101997630948","5515226.6666666666666671","18493.82"
"Rhode Island",2023,1,"15627393950","924130.0000000000006666","16910.38"
"Vermont",2023,1,"9121129448","589716.00000000000066640000","15466.99"
"Massachusetts",2023,1,"170299918953","6913461.66666666666900030000","24633.09"
"Maine",2023,1,"17770669414","1183764.6666666666656666","15012.00"
"Florida",2023,1,"304778130068","18314404.6666666666669995","16641.44"
"New Mexico",2023,1,"23244589498","1636444.6666666666670000","14204.32"
"New Jersey",2023,1,"166722330538","7843674.6666666666670002","21255.64"
"Washington",2023,1,"153702769196","6907972.33333333333299960000","22250.06"
"Ohio",2023,1,"166783756684","10406239.3333333333350001","16027.28"
"Idaho",2023,1,"21897798956","1592464.6666666666683331","13750.89"
"Missouri",2023,1,"84021895034","5421265.3333333333356665","15498.58"
"Virginia",2023,1,"140717856670","7549612.0000000000003333","18639.08"
"Utah",2023,1,"53969922600","3327770.0000000000006662","16218.04"
"Nevada",2023,1,"46964197288","2933312.6666666666683332","16010.63"
"West Virginia",2023,1,"17570852010","1299298.6666666666676656","13523.34"
"North Dakota",2023,1,"12868358682","817579.99999999999899990000","15739.57"
"Mississippi",2023,1,"26412316788","2192352.6666666666646676","12047.48"
"Pennsylvania",2023,1,"194893063740","11112037.33333333333266670000","17538.91"
"Delaware",2023,1,"15790478295","835941.99999999999966660000","18889.44"
"Hawaii",2023,1,"19553790858","1240325.00000000000099990000","15765.05"
"Michigan",2023,1,"136456017222","8222432.33333333333400030000","16595.58"
"New Hampshire",2023,1,"21896876276","1249435.00000000000066680000","17525.42"
"Iowa",2023,1,"45352273813","2986656.00000000000300030000","15184.97"
"Wisconsin",2023,1,"84271506127","5480102.00000000000000020000","15377.73"
"South Carolina",2023,1,"59799056475","4194139.66666666666699980000","14257.76"
"Illinois",2023,1,"223012371391","11117052.66666666667000040000","20060.39"
"Oregon",2023,1,"66302016454","3865897.3333333333363333","17150.49"
"Kentucky",2023,1,"56108359040","3826565.99999999999799910000","14662.85"
"Nebraska",2023,1,"28009019490","1899434.66666666666699930000","14745.98"
"Louisiana",2023,1,"54532828583","3693125.33333333333433350000","14766.04"
"Indiana",2023,1,"92751361148","6037031.3333333333349995","15363.74"
